"website","hotelStars","city","state","postalCode","description","location/lat","location/lng","categoryName","title","address","hotelDescription","phone","imageUrl","url","imagesCount"
,,"Ujjain","Madhya Pradesh","456006",,"23.1810961","75.7818088","Restaurant","Bapa Sitaram Restaurant","Ke Samne, Dewas Gate, Bus Stand, Agar - Ujjain Rd, Malipura, Ujjain, Madhya Pradesh 456006, India",,"+91 87706 74847","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4HcZMv3RTYY-Xb4aYL6VZqbS-MxnfOvW1uqu1vDcX8sohxIjA6203J2qR1TiX5td9cREFj5lrCqGKnmGCsnI5tazg7RycFWLwasm9Pc7tPoS1r1Xg6zI4JhGlcZ-X_L7QSPR4=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=Bapa%20Sitaram%20Restaurant&query_place_id=ChIJTxFgStN1YzkROVd9oJ3rR2Q","3"
,,"Goyala Buzurg","Madhya Pradesh","456003",,"23.2201407","75.7702211","Family restaurant","SAI KRIPA RESTORENT","6QCC+38C, Goyala Buzurg, Madhya Pradesh 456003, India",,"+91 98274 34538","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTb1P7MUwNcD7cEj66M3704I-QKab3Hc9jKyGEzlU0CAZmaaTgTaTQjIGENSldAu6rlRBYTZgWfX2FV_InGzel9NdC1Axlz34YvtHVEi-GK_hS06s45Ojs71jQgRgR9Q_BXwzi0Q=w408-h305-k-no","https://www.google.com/maps/search/?api=1&query=SAI%20KRIPA%20RESTORENT&query_place_id=ChIJsyNMEud3YzkRUY-HANq0B4o","14"
,,"Ujjain, Ganesh Nagar","Madhya Pradesh","456010",,"23.2226902","75.776118","Restaurant","BaatiWale","Shanti Palace Square Choupati, Nanakheda Rd, in front of Sagar Gaire restaurant, Ujjain, Ganesh Nagar, Madhya Pradesh 456010, India",,"+91 93002 29363","https://lh3.googleusercontent.com/p/AF1QipO6xIpFP__rqv4HqHsEPfonYVuTR_MbqJyGeEYo=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=BaatiWale&query_place_id=ChIJ-yJPQQd1YzkRXwxyp9tHh5Q","25"
,,"Ujjain","Madhya Pradesh","456006",,"23.2114579","75.7748411","Dhaba","Veer savarkar pyau chouraha bhairwgarh road ujjain","6Q6F+GWH, Siddhawat Marg, Ujjain, Madhya Pradesh 456006, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnf3DImpQ713wpzIvjbe8s04tcaSc77Gn8qk13tZbqnlo55GVrNehVav1iFJQihKFhzUIwlT3-G7x68RcZqgMM4r-6zIbA1zEw25MQaRopSo5nL1fvVvdg57xgZN0LFo2XNyTY=w408-h725-k-no","https://www.google.com/maps/search/?api=1&query=Veer%20savarkar%20pyau%20chouraha%20bhairwgarh%20road%20ujjain&query_place_id=ChIJq_cnsI93YzkRlnIRCiu251g","9"
,,"Ujjain","Madhya Pradesh","456001",,"23.22264","75.7615872","Dhaba","Shanti Van Dhaba & Restaurant","6QF6+3J4, Mojamkhedi, Barnagar Bypass Rd, Ujjain, Madhya Pradesh 456001, India",,"+91 95752 57017","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NLXtCWlktOoEUu_0oQz37A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=342.45844&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Shanti%20Van%20Dhaba%20%26%20Restaurant&query_place_id=ChIJW9iXFop2YzkRAAAAcIoMwgk","2"
,,"Ujjain","Madhya Pradesh","456006",,"23.2015524","75.7727573","Brunch restaurant","Sanwariya everfresh & restorant ujjain","6Q2F+M29, Pipli Naka Chouraha, Ujjain, Madhya Pradesh 456006, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMTkmFgCPAPW-ETrn9MPlRPedp-SAiWih0F54x7TkEBVRlsAUmH37mf9z7jPrUQ853mzLoXL508pLSkpUAlqOP9aheIkm9M5nMvgh8VLz6I89nz8BnmMZZT-Qf12kqyG0jOv9Zdw=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Sanwariya%20everfresh%20%26%20restorant%20ujjain&query_place_id=ChIJB8mSXCh1YzkRUxWF9tQt7ZM","5"
,,"Ujjain","Madhya Pradesh","456006",,"23.2097335","75.7783695","Fast food restaurant","Rathore Food Corner","Mangalanath Marg, 33, Ankpat Marg, Patel Nagar, Ujjain, Madhya Pradesh 456006, India",,,,"https://www.google.com/maps/search/?api=1&query=Rathore%20Food%20Corner&query_place_id=ChIJO9R2mZ52YzkRO7O_fT3XVwM",
,,"Ujjain","Madhya Pradesh","456003",,"23.2209575","75.767287","Fast food restaurant","Love Catters","Kalbherav, Ujjain, Madhya Pradesh 456003, India",,,,"https://www.google.com/maps/search/?api=1&query=Love%20Catters&query_place_id=ChIJ9UD9XzJ3YzkRr1FuMwDBJbU",
,,"Ujjain","Madhya Pradesh","456006",,"23.1995345","75.7859973","Fast food restaurant","Mahakal Pani Patasi","Tower Ke Pas, Vali Gali, 11, Agar Rd, Mohan Nagar, Ujjain, Madhya Pradesh 456006, India",,"+91 62606 02938","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J05KkyZ9GBzwm-2mqKMO_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.56653&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Mahakal%20Pani%20Patasi&query_place_id=ChIJRSjDm2B1YzkRLNIz6cq-rFM","1"
,,"Ujjain","Madhya Pradesh","456006",,"23.2181463","75.7674036","Restaurant","JAIN DHANI","mojam khedi chowraha, near Kaal Bhairav mandir, Ujjain, Madhya Pradesh 456006, India",,"+91 70007 08609","https://lh3.googleusercontent.com/p/AF1QipMxSLw9NCrmzZFz5SEEdmtTJi-l_VEngtuRMXaW=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=JAIN%20DHANI&query_place_id=ChIJvz7rbAN3YzkRKlBQ_lX1_9s","68"
